rhea_id	rhea_label	predicate_id	go_id	go_label	evidence_type	evidence_detail	confidence
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:broadMatch	GO:0015424	ABC-type amino acid transporter activity	substrate_match	Shared EC: 7.4.2.11; go_has_mechanism_abc_type	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015191	L-methionine transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0140010	D-aspartate transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015661	L-lysine efflux transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015192	L-phenylalanine transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015183	L-aspartate transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015189	L-lysine transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0005313	L-glutamate transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:broadMatch	GO:0015558	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; go_has_mechanism_secondary_active	medium
RHEA:29779	L-methionine(out) + ATP + H2O = L-methionine(in) + ADP + phosphate + H(+)	skos:exactMatch	GO:0015179	L-amino acid transmembrane transporter activity	substrate_match	Shared EC: 7.4.2.11; substrate_match	medium
